From;To;Type;Through;start_x;start_y;stop_x;stop_y;Comment
93;90;sea;632;-1;-1;-1;-1;Lihula-Muhu
110;88;sea;639;-1;-1;-1;-1;Piltene-Kuressaare
104;108;river_large;3241;-1;-1;-1;-1;Riga-Ikskila
137;150;river_large;1081;-1;-1;-1;-1;Duagavpils-Oknist
#POLAND
2830;2831;river_large;1052;-1;-1;-1;-1;Danzig-Wislana
4921;3198;river_large;1053;-1;-1;-1;-1;Bydgoszcz-Chelmno(Kulm)
4919;4922;river_large;1053;-1;-1;-1;-1;Wloclawek-Dobrzyn
4940;529;river_large;1053;-1;-1;-1;-1;Gostynin-Plock
530;4939;river_large;1055;-1;-1;-1;-1;Czersk-Garwolin
#WALLACHIA
4997;508;river_large;1059;-1;-1;-1;-1;Calarasi-Silistra
514;507;river_large;1060;-1;-1;-1;-1;Turnu-Nikopolis
516;3667;river_large;1061;-1;-1;-1;-1;Severin-Klodovo
#BULGARIA
3694;5010;river_large;1058;-1;-1;-1;-1;Tulcha-Sulina
# HUNGARY
3803;522;river_large;1066;-1;-1;-1;-1;Visegrad-Pest
3805;3807;river_large;1066;-1;-1;-1;-1;Szekesfehevar-Kalocsa
3808;3976;river_large;1066;-1;-1;-1;-1;Esztergom-Bény
3809;3916;river_large;1067;-1;-1;-1;-1;Komárom-Bátorkeszi
3610;518;river_large;8560;-1;-1;-1;-1;Vakovo-Bacs
#GREECE
472;3710;sea;1038;-1;-1;-1;-1;Buthrothum-Corfu
3701;474;sea;1037;-1;-1;-1;-1;Vonitsa-Cephalonia
474;3696;sea;1037;-1;-1;-1;-1;Cephalonia-Zakynthos
3727;3726;sea;942;-1;-1;-1;-1;Boudounitsa-Oreoi
485;3730;sea;942;-1;-1;-1;-1;Chalkis-Thebes
3755;3756;sea;942;-1;-1;-1;-1;Andros-Tinos
484;3756;sea;942;-1;-1;-1;-1;Naxos-Tinos
484;3757;sea;1017;-1;-1;-1;-1;Naxos-Thera
488;3725;sea;8666;-1;-1;-1;-1;Demetrias-Skopelos
3726;3725;sea;942;-1;-1;-1;-1;Oreoi-Skopelos
3740;3741;sea;936;-1;-1;-1;-1;Kos-Lindos
3741;3742;sea;8661;-1;-1;-1;-1;Lindos-Karpathos
3751;487;sea;1111;-1;-1;-1;-1;Alexandria Troas-Mytilene
3767;3769;sea;8665;-1;-1;-1;-1;Alexandria Xanthia-Thasos
495;3749;sea;947;-1;-1;-1;-1;Kalliopolis-Lampsakos
496;5565;sea;947;-1;-1;-1;-1;Constantinople-Chalcedon
#BALKANS
464;459;sea;8650;-1;-1;-1;-1;Senj-Krk
459;2521;sea;8650;-1;-1;-1;-1;Krk-Cres
3555;3556;sea;1109;-1;-1;-1;-1;Mokro-Hvar
3556;3569;sea;1109;-1;-1;-1;-1;Hvar-Ston
#RUSSIA
169;170;river_large;1006;-1;-1;-1;-1;Nyen-Pähkinälinna
552;5116;river_large;1079;-1;-1;-1;-1;Turov-Mikashevichy
5095;5122;river_large;1083;-1;-1;-1;-1;Chornobyl-Rechytsa
5135;5134;river_large;1082;-1;-1;-1;-1;Haradok-Vitebsk
5129;5131;river_large;3242;-1;-1;-1;-1;Polotsk-Myory
5138;5154;river_large;1085;-1;-1;-1;-1;Ladoga-Kirishi
5137;5254;river_large;8569;-1;-1;-1;-1;Novgorod-Svolensk
5143;5162;river_large;8570;-1;-1;-1;-1;Rusa-Kholm
5161;5151;river_large;1087;-1;-1;-1;-1;Luki-Nevel
5160;193;river_large;8571;-1;-1;-1;-1;Podporozhye-Aunus
5171;5164;river_large;1106;-1;-1;-1;-1;Andreapol-Torzhok
5173;5164;river_large;8578;-1;-1;-1;-1;Tver-Torzhok
5173;5175;river_large;8578;-1;-1;-1;-1;Tver-Kashin
572;5176;river_large;1105;-1;-1;-1;-1;Yaroslavl-Mologa
5247;5251;river_large;8580;-1;-1;-1;-1;Plyos-Kostroma
16259;585;river_large;1098;-1;-1;-1;-1;Vasylovo-Gorodets
584;16259;river_large;8574;-1;-1;-1;-1;NizhnyNovgorod-Vasylovo
5253;580;river_large;1102;-1;-1;-1;-1;VaskinaPolyana-Ryazan
5253;5228;river_large;1099;-1;-1;-1;-1;VaskinaPolyana-PereyaslavlRyazanski
5238;5228;river_large;1099;-1;-1;-1;-1;Yegoryevsk-PereyaslavlRyazanski
587;5218;river_large;1104;-1;-1;-1;-1;Mozhaysk-Suvorov
5204;5208;river_large;1074;-1;-1;-1;-1;Trubetsk-Lokot
5221;568;river_large;1078;-1;-1;-1;-1;Gnezdovo-Smolensk
5119;5225;river_large;8565;-1;-1;-1;-1;Babruysk-Cherykaw
5201;554;river_large;1073;-1;-1;-1;-1;Unenezh-Chernigov
5122;554;river_large;1077;-1;-1;-1;-1;Rechytsa-Chernigov
547;554;river_large;8564;-1;-1;-1;-1;Kiev-Chernigov
547;555;river_large;1072;-1;-1;-1;-1;Kiev-Pereyaslavl
#BJARMALAND
5156;5816;river_large;1101;-1;-1;-1;-1;Beloozero-Ostrov
5157;5824;river_large;8579;-1;-1;-1;-1;Cherepovets-Vologda
572;5828;river_large;1098;-1;-1;-1;-1;Yaroslavl-Vyatskoye
5798;5799;river_large;5855;-1;-1;-1;-1;Kholmogory-Arkhangelsk
5840;5841;river_large;5857;-1;-1;-1;-1;Kotlas-Usyorga
#PONTIC STEPPE
5268;512;river_large;1056;-1;-1;-1;-1;Odessa-Cetatea Alba
5257;5021;river_large;1057;-1;-1;-1;-1;Ladyzyn-Soroca
5263;5189;river_large;1071;-1;-1;-1;-1;Cherkassy-Voin
5274;557;river_large;8563;-1;-1;-1;-1;Dnipro-Khortytsia
5269;16256;river_large;1070;-1;-1;-1;-1;Kherson-Kalanchak
562;598;sea;8670;-1;-1;-1;-1;Kerch-Tmutarkan (Kerch strait)
5291;595;river_large;8584;-1;-1;-1;-1;Siyahtepe-Sarysyn
16255;607;river_large;1090;-1;-1;-1;-1;Tsimla-Sarkel
596;597;river_large;8585;-1;-1;-1;-1;Tana-Azov
604;620;sea;1062;-1;-1;-1;-1;Khazaran-Itil
595;619;river_large;1093;-1;-1;-1;-1;Sarysyn-Saray
5311;604;river_large;1092;-1;-1;-1;-1;Astrakhan-Khazaran
558;542;sea;949;-1;-1;-1;-1;Oleshye-Olbia
#VOLGA BULGARIA
5394;16317;river_large;1097;-1;-1;-1;-1;Arda-Cykma
614;611;river_large;8581;-1;-1;-1;-1;Ashli-Kazan
614;610;river_large;1096;-1;-1;-1;-1;Ashli-Bolghar
5411;609;river_large;8582;-1;-1;-1;-1;Banja-Sumar
592;5347;river_large;1103;-1;-1;-1;-1;Saratov-Engels
593;5287;river_large;1090;-1;-1;-1;-1;Khopyor-Kazanskaya
610;5397;river_large;8577;-1;-1;-1;-1;Bolghar-Kashan
5408;5403;river_large;5510;-1;-1;-1;-1;Yar Calli-Elabuga
886;5450;river_large;5511;-1;-1;-1;-1;Perm-Nytva
5470;16317;river_large;1097;-1;-1;-1;-1;Jurny-Cykma
#CANARIAS
849;8713;sea;8622;-1;-1;-1;-1;GranCanaria-Tenerife
849;8714;sea;8622;-1;-1;-1;-1;GranCanaria-Fuerteventura
8714;8715;sea;8622;-1;-1;-1;-1;Fuerteventura-Lanzarote
#EGYPT
6043;6047;river_large;6026;-1;-1;-1;-1;Daqahla-Samannud
6042;6057;river_large;6028;-1;-1;-1;-1;Cairo-Gizeh
6049;6054;river_large;6027;-1;-1;-1;-1;Nastarawa-Damanhur
6063;6064;river_large;6028;-1;-1;-1;-1;Al-Bahnasa-Ihrit
6067;6068;river_large;6029;-1;-1;-1;-1;Al-Ushmunain-Ansina
6070;6071;river_large;6029;-1;-1;-1;-1;Asyut-Bawit
6077;6078;river_large;6125;-1;-1;-1;-1;Qus-Armant
#SUB-SAHARAN AFRICA
8115;8087;river_large;8092;-1;-1;-1;-1;Bonny-Nembe
8086;8111;river_large;8093;-1;-1;-1;-1;Ode Itseriki-Onitsha
8085;6548;river_large;8094;-1;-1;-1;-1;Kyadya-Bida
6553;6915;river_large;6796;-1;-1;-1;-1;Yauri-Kaoje
6570;6714;river_large;6796;-1;-1;-1;-1;Rozi-Pekinga
6577;6579;river_large;6794;-1;-1;-1;-1;Gao-Koima
6608;6670;river_large;6793;-1;-1;-1;-1;Kabara-Bangu
6620;6647;river_large;6791;-1;-1;-1;-1;Mara-Kaniana
#MESOPOTAMIA
4822;4823;river_large;6127;-1;-1;-1;-1;Kaskar-An-Numaniya
4797;4824;river_large;6126;-1;-1;-1;-1;Iskaf-Humaniya
6008;6021;river_large;6128;-1;-1;-1;-1;Nahr Simmara-Matara Iraq
#ARABIA
6157;6156;sea;1394;-1;-1;-1;-1;Al-Khatt-Uwal
6150;6156;sea;1394;-1;-1;-1;-1;Murwab-Uwal
4186;4187;sea;1393;-1;-1;-1;-1;Shahru-Laft (Strait of Hormuz)
6132;4187;sea;1393;-1;-1;-1;-1;Musandam-Laft (Strait of Hormuz)
6282;8340;sea;1385;-1;-1;-1;-1;Al-Mandab-Assab
6282;8341;sea;1385;-1;-1;-1;-1;Al-Mandab-Awbuk
8286;8280;sea;8673;-1;-1;-1;-1;Buri-Dahlak Kebir
#INDIA
1295;3355;sea;1397;-1;-1;-1;-1;Kanthakota-Morvi
1297;3400;river_large;8681;-1;-1;-1;-1;Debul-Sauvira
1138;1175;river_large;1308;-1;-1;-1;-1;Bhakkar-Aror
1339;3408;river_large;1309;-1;-1;-1;-1;Rajanpur-Chachran
1340;3417;river_large;8588;-1;-1;-1;-1;Karor-Dera Ghazi Khan
1178;3410;river_large;8590;-1;-1;-1;-1;Karur-Askhanda
3421;3423;river_large;8591;-1;-1;-1;-1;Pancapura-Abohar
1127;3383;river_large;8593;-1;-1;-1;-1;Akruresvara-Navasarika
1262;1194;river_large;8594;-1;-1;-1;-1;Thalner-Sindkheda
7910;7913;river_large;8598;-1;-1;-1;-1;Palwancha-Bhadracala
1123;7916;river_large;8597;-1;-1;-1;-1;Vengipura-Draksharama
7836;1201;river_large;8596;-1;-1;-1;-1;Kannanur-Karavur
7836;7807;river_large;8595;-1;-1;-1;-1;Kannanur-Uraiyur
7836;1115;river_large;8595;-1;-1;-1;-1;Kannanur-Tanjavur
7838;1115;river_large;8595;-1;-1;-1;-1;Nagapattinam-Tanjavur
1319;1240;river_large;1311;-1;-1;-1;-1;Bikrampur-Fathabad
1323;856;river_large;456;-1;-1;-1;-1;Nabadwipa-Santipura
1243;842;river_large;456;-1;-1;-1;-1;Karnasubarna-Raktamrittika
1243;839;river_large;1312;-1;-1;-1;-1;Karnasubarna-Rampur Boalia
1325;848;river_large;1316;-1;-1;-1;-1;Madhupur-Somapur
1321;815;river_large;8603;-1;-1;-1;-1;Kamarupanagara-Pragyotisapura
1418;813;river_large;8604;-1;-1;-1;-1;Haruppeswara-Numaligarh
837;843;river_large;1313;-1;-1;-1;-1;Gaur-Agmahl
1154;879;river_large;1315;-1;-1;-1;-1;Pataliputra-Hajipur
1163;1281;river_large;8602;-1;-1;-1;-1;Varanasi-Chunar
927;931;river_large;8600;-1;-1;-1;-1;Bhubaneswar-Athgarh
#BURMA
9588;9590;river_large;8608;-1;-1;-1;-1;Sriksetra-Thayetmyo
9599;9626;river_large;8607;-1;-1;-1;-1;Krapan-Bogale
9633;9626;river_large;8606;-1;-1;-1;-1;Myaungmya-Bogale
9556;9568;river_large;8610;-1;-1;-1;-1;Ava-Sagaing
9645;9643;river_large;15659;-1;-1;-1;-1;Kawlin-Tagaung
#KUTCH
1295;3385;sea;1397;-1;-1;-1;-1;Kanthakota-Kasara
#HOLLAND
2113;2112;sea;3229;-1;-1;-1;-1;Bergen op Zoom-Middelberg
2115;2112;sea;3229;-1;-1;-1;-1;Bruges-Middelberg
#EAST AFRICA
12773;12775;sea;12799;-1;-1;-1;-1;Pate-Kiangwe
12773;12774;sea;12799;-1;-1;-1;-1;Pate-Kiunga
# JAPAN
10551;10554;sea;12645;-1;-1;-1;-1;Kikuchi-Amakusa
10511;10608;sea;12612;-1;-1;-1;-1;Nagata-Mihara
10595;10608;sea;12612;-1;-1;-1;-1;Akashi-Mihara
10566;10526;sea;12610;-1;-1;-1;-1;Shimonoseki-Kiku
10589;10515;sea;12611;-1;-1;-1;-1;Tsukada-Kiyama
10575;10507;sea;12611;-1;-1;-1;-1;Kamo-Iyo
#SOUTHEAST ASIA
11273;11274;sea;12723;-1;-1;-1;-1;Siak-Suir
# JAPAN - Hokkaido
10792;12819;sea;12659;-1;-1;-1;-1;Hanasaki-Kunasir
12819;12820;sea;12660;-1;-1;-1;-1;Kunasir-Etuworop-sir
# CHINA
12930;9802;sea;12752;-1;-1;-1;-1;Shecheng-Xuwen (Hainan to mainland)
# SOUTHEAST ASIA

#Rivers in East Asia
10916;10913;river_large;12513;-1;-1;-1;-1;Thanh Phu-Soc Trang
10811;10809;river_large;12515;-1;-1;-1;-1;Angkor Borey-Vyadhapura
10815;10814;river_large;12516;-1;-1;-1;-1;Chaturmukah-Hanchei
10814;10808;river_large;12525;-1;-1;-1;-1;Hanchei-Indrapura
10804;10805;river_large;12528;-1;-1;-1;-1;Sambhupura-Stung Treng
10817;11440;river_large;12529;-1;-1;-1;-1;Lingapura-Sanasomboon
10817;10940;river_large;12530;-1;-1;-1;-1;Lingapura-Mae Hae Song
10943;10957;river_large;12532;-1;-1;-1;-1;Surin-Maha Sarakan
11442;10937;river_large;12533;-1;-1;-1;-1;Bhimapura-Nakhon Ratchasima
10816;10932;river_large;12518;-1;-1;-1;-1;Angkor-Battambang
8892;8923;river_large;12546;-1;-1;-1;-1;Xinhui-Yining
8924;8922;river_large;12547;-1;-1;-1;-1;Yongshun-Duanxi
10278;10274;river_large;12548;-1;-1;-1;-1;Ducheng-Cangwu
8869;10370;river_large;10464;-1;-1;-1;-1;Haian-Changshu
8933;12950;river_large;10464;-1;-1;-1;-1;Hailing-Dantu
8935;10331;river_large;10456;-1;-1;-1;-1;Qingliu-Dangtu
8939;10339;river_large;10456;-1;-1;-1;-1;Qingyang-Lujiang East
8943;10374;river_large;10457;-1;-1;-1;-1;Pengze-Susong
13014;10394;river_large;10458;-1;-1;-1;-1;Xunyang-Qichun Southwest
13014;8986;river_large;10458;-1;-1;-1;-1;Hukou-Hanyin
13012;12995;river_large;10458;-1;-1;-1;-1;Jiangxia-Huanggang
10395;8973;river_large;10459;-1;-1;-1;-1;Baling-Jianli
8978;10397;river_large;10459;-1;-1;-1;-1;Jianli-Huarong
10029;12984;river_large;10460;-1;-1;-1;-1;An-Dangyang
10029;10323;river_large;10460;-1;-1;-1;-1;Jianli-Huarong
10024;13008;river_large;10461;-1;-1;-1;-1;Zhijiang-Gong'an
10302;8862;river_large;11933;-1;-1;-1;-1;Bohai-Linzi
8876;8873;river_large;11933;-1;-1;-1;-1;Linyi-Dihe
10417;8877;river_large;11933;-1;-1;-1;-1;Pingyuan-Yucheng
8884;10362;river_large;11935;-1;-1;-1;-1;Laocheng-Shouzhang
8886;10357;river_large;11936;-1;-1;-1;-1;Puyang-Guixiang
13033;10159;river_large;11938;-1;-1;-1;-1;Baima-Ji
9780;10405;river_large;11939;-1;-1;-1;-1;Luoyang-Wangwu
10309;10259;river_large;11940;-1;-1;-1;-1;Xia-Xia

#Okinawa
10647;10643;sea;12633;-1;-1;-1;-1;Hokomazu-Amami
# Japan
10536;10539;sea;12596;-1;-1;-1;-1;Kishima-Jikajima

# Funan
16019;16014;river_large;12515;-1;-1;-1;-1;Dviradapura-S'ang
16153;16153;river_large;12516;-1;-1;-1;-1;Longvek-Amarendrapura
15376;15585;river_large;12513;-1;-1;-1;-1;Kottinagara-Sadek
16788;16842;river_large;12519;-1;-1;-1;-1;Neang-Chhmar
16539;16670;river_large;12527;-1;-1;-1;-1;Chrouy-Koh Krieng
17189;17258;river_large;12530;-1;-1;-1;-1;Phontong-Pakse
17308;17213;river_large;12530;-1;-1;-1;-1;Khong Chiam-Phibun Mangsahan
17323;17266;river_large;12531;-1;-1;-1;-1;Nong Waeng-Tha Thum
17185;17168;river_large;12533;-1;-1;-1;-1;Khorakhapura-Tha Chang
15138;15140;river_large;15139;-1;-1;-1;-1;Mukdahan-Khantabouli
15670;15718;river_large;12515;-1;-1;-1;-1;Nakhon Phanom-Tha Khek
17638;17605;river_large;17631;-1;-1;-1;-1;Chantabuli-Tha Bo
17783;17813;river_large;17783;-1;-1;-1;-1;Sayaburi-Nan

# Thailand
17006;17007;river_large;16827;-1;-1;-1;-1;Ban Pan-Ayothaya
16917;16893;river_large;16827;-1;-1;-1;-1;Thonburi-Phra Pradaeng
17154;17171;river_large;12515;-1;-1;-1;-1;Singhapura-Lavapura
15394;15437;river_large;15386;-1;-1;-1;-1;Ban Tak-Wang Prachop

# Mekong
17900;17883;river_large;17797;-1;-1;-1;-1;Chomphet-Muang Sua
17938;17882;river_large;17929;-1;-1;-1;-1;Pak Beng-Hong Sa
17694;17714;river_large;17633;-1;-1;-1;-1;Phiang-Feuang
17640;17609;river_large;17633;-1;-1;-1;-1;Xanakharm-Na Sao
17705;17641;river_large;17631;-1;-1;-1;-1;Pakxan-Chai Buri

# Annam
18386;18009;river_large;18006;-1;-1;-1;-1;Tuc Mac-Bo Hai Khau
18086;18131;river_large;18006;-1;-1;-1;-1;Dai La-Long Bien
18123;18166;river_large;18161;-1;-1;-1;-1;Thanh Ba-Phong Chau
18282;18308;river_large;15070;-1;-1;-1;-1;Cam Duong-Nam Si
15075;15069;river_large;15070;-1;-1;-1;-1;Goje-Duo Yi Shu

# Philippines
15867;15970;sea;12662;-1;-1;-1;-1;Kankabatok-Kalbiga
11157;11088;sea;12674;-1;-1;-1;-1;Sibutu-Tawi Tawi
11084;11085;sea;12669;-1;-1;-1;-1;Samboangan-Matangal
17127;11031;sea;12643;-1;-1;-1;-1;Binangonan-Polo
16858;11038;sea;12627;-1;-1;-1;-1;Lubang-Paluan
11036;11064;sea;12661;-1;-1;-1;-1;Lomlom-Akean
15811;11061;sea;12669;-1;-1;-1;-1;Oton-Himalos
15576;15547;sea;12662;-1;-1;-1;-1;Sugbu-Maktan
17332;17375;sea;12667;-1;-1;-1;-1;Dawaw-Samal
15337;15090;sea;12640;-1;-1;-1;-1;Dinagat-Suligaw
11046;11045;sea;12628;-1;-1;-1;-1;Balabac-Ipolot

# Indonesia
11323;11324;sea;12721;-1;-1;-1;-1;Toboali-Belitung
11304;11323;sea;12717;-1;-1;-1;-1;Air Sugihan-Toboali
11397;11398;sea;12723;-1;-1;-1;-1;Tumasik-Johor
17198;11277;sea;12723;-1;-1;-1;-1;Karimun-Batam
11277;17255;sea;12723;-1;-1;-1;-1;Batam-Bintan
11277;16830;sea;12723;-1;-1;-1;-1;Batam-Lingga
16934;11198;sea;12685;-1;-1;-1;-1;Togian-Ampana
11194;11193;sea;12688;-1;-1;-1;-1;Bualemo-Salakan
16832;16507;sea;12684;-1;-1;-1;-1;Bajan-Obira
16832;16748;sea;12680;-1;-1;-1;-1;Bajan-Gane
11217;11218;sea;12684;-1;-1;-1;-1;Namlea-Piru
15590;11189;sea;12689;-1;-1;-1;-1;Konda-Goram
17217;12823;sea;12739;-1;-1;-1;-1;Teluk Lagundri-Batu
16351;12825;sea;12740;-1;-1;-1;-1;Sipura-Bahat Monga
11185;11192;sea;12690;-1;-1;-1;-1;Bombana-Kabaena
17798;17552;sea;12704;-1;-1;-1;-1;Bulukumba-Selayar
18419;15887;river_large;16001;-1;-1;-1;-1;Kuala Kapuas-Banjarmasin
15992;18421;river_large;16036;-1;-1;-1;-1;Pembuang-Sampit
15463;18330;river_large;15020;-1;-1;-1;-1;Tanjung Selor-Sambiliong

16053;18323;sea;8687;-1;-1;-1;-1;Jarawa-Onge

-1;-1;;-1;-1;-1;-1;-1;
